Zeitpunkt,Andechs/Rothenfeld,Ansbach/Residenzstraße,Aschaffenburg/Bussardweg,Augsburg/Bourges-Platz,Augsburg/Karlstraße,Augsburg/Königsplatz,Augsburg/LfU,Bad Hindelang/Oberjoch,Bad Reichenhall/Kirchholzstraße,Bamberg/Löwenbrücke,Bayreuth/Hohenzollernring,Burgbernheim/Grüne Au,Burghausen/Marktler Straße,Erlangen/Kraepelinstraße,Garmisch-Partenkirchen/Wasserwerk,Hof/LfU,Ingolstadt/Münchener Straße,Ingolstadt/Rechbergstraße,Kelheim/Regensburger Straße,Kempten (Allgäu)/Westendstraße,Kleinwallstadt/Hofstetter Straße,Kulmbach/Konrad-Adenauer-Straße,Landshut/Podewilsstraße,Lindau (Bodensee)/Friedrichshafener Str.,Mehring/Sportplatz,München/Allach,München/Johanneskirchen,München/Landshuter Allee,München/Lothstraße,München/Stachus,Neu-Ulm/Gabelsbergerstraße,Neustadt a.d. Aisch/An der Weißen Marter,Neustadt a.d.Donau/Eining,Nürnberg/Bahnhof,Nürnberg/Muggenhof,Nürnberg/Von-der-Tann-Straße,Oberaudorf/Inntal-Autobahn,Oettingen/Goethestraße,Passau/Angerstraße,Passau/Stelzhamerstraße,Regensburg/Rathaus,Saal a.d.Donau/Regensburger Straße,Schwabach/Angerstraße,Schwandorf/Wackersdorfer Straße,Schweinfurt/Obertor,Tiefenbach/Altenschneeberg,Trostberg/Schwimmbadstraße,Weiden i.d.OPf./Nikolaistraße,Würzburg/Stadtring Süd
02.05.2022 13:00,4,17,7,13,30,11,5,1,8,13,14,5,13,4,4,8,13,13,7,4,15,9,10,11,7,13,7,30,13,27,8,5,4,13,8,68,10,7,43,18,18,11,7,8,7,4,19,11,16
02.05.2022 14:00,3,10,9,12,29,12,6,1,6,13,13,7,9,4,4,10,17,11,7,3,14,10,12,14,6,10,7,28,9,33,8,4,4,16,10,55,6,7,46,29,24,12,7,5,6,4,13,13,20
02.05.2022 15:00,3,18,7,14,37,15,7,1,6,12,20,6,12,4,3,9,17,11,9,6,11,8,12,17,7,11,6,29,9,24,8,4,4,16,14,71,6,8,44,23,18,12,7,15,6,3,23,18,27
02.05.2022 16:00,4,30,7,12,33,15,6,2,7,16,30,7,16,6,4,8,18,16,11,8,6,11,11,12,8,13,6,35,7,23,8,4,4,27,12,74,8,6,62,22,21,20,7,27,7,4,10,15,38
02.05.2022 17:00,5,50,6,13,25,16,5,2,8,18,30,4,19,4,7,9,16,10,20,6,5,9,15,13,6,11,7,43,10,30,9,5,9,13,8,62,8,4,39,20,20,15,11,13,5,4,11,13,38
02.05.2022 18:00,7,34,10,21,48,21,6,2,6,16,13,3,18,4,4,8,19,16,18,6,7,10,16,13,7,12,8,38,11,33,7,5,10,16,8,52,5,6,23,11,31,21,10,12,7,3,23,11,36
02.05.2022 19:00,6,30,15,30,49,21,9,2,8,14,19,6,21,10,3,9,16,15,11,10,5,11,21,17,12,12,14,58,11,31,8,6,6,16,9,45,10,11,23,17,22,21,14,15,6,2,7,19,32
02.05.2022 20:00,5,27,35,33,45,23,11,1,7,20,38,5,15,6,2,16,19,19,16,10,5,14,15,12,16,22,8,31,12,20,15,8,6,15,9,32,12,7,20,30,18,21,15,15,13,2,9,16,17
02.05.2022 21:00,6,23,33,43,38,18,15,12,11,32,43,5,24,10,2,15,26,25,15,8,12,21,18,15,19,16,10,51,12,26,9,12,6,35,24,38,11,21,22,39,16,18,12,15,14,2,12,21,11
02.05.2022 22:00,5,16,41,28,36,45,18,10,13,26,40,6,20,11,2,18,25,20,16,4,14,20,15,15,13,14,12,29,11,19,13,10,7,45,22,68,25,18,24,40,22,13,19,13,21,2,12,34,17
